time (s),altitude (m)
637000.0,405098.4932081029
638000.0,400869.12029533926
639000.0,391728.8858968131
640000.0,388230.3826360265
641000.0,394422.8548309868
642000.0,403128.65961115714
643000.0,404301.08496975806
644000.0,396587.5878692316
645000.0,388873.4172662003
646000.0,390080.90603655484
647000.0,398804.315591258
648000.0,404952.2659611488
649000.0,401441.03792894166
650000.0,392307.14717768505
651000.0,388092.7269779267
652000.0,393676.14944293536
653000.0,402583.6124426387
654000.0,404532.2351708887
655000.0,397276.282877394
656000.0,389171.4084413769
657000.0,389589.65690871235
658000.0,398040.3987210039
659000.0,404744.16643770505
660000.0,401975.1071339734
661000.0,392915.40240130667
662000.0,388018.2756467974
663000.0,392952.5042294571
664000.0,401995.0565233091
665000.0,404703.3501556935
666000.0,397957.2891080752
667000.0,389523.33970389236
668000.0,389151.46360481903
669000.0,397267.0585289113
670000.0,404475.2719102008
671000.0,402466.86691734754
672000.0,393548.6491401056
673000.0,388007.31187926047
674000.0,392256.90456203185
675000.0,401366.80105852336
676000.0,404812.91342465486
677000.0,398625.7118673464
678000.0,389926.40725512337
679000.0,388769.0018281853
680000.0,396489.5300373174
681000.0,404147.3792282827
682000.0,402912.55616945773
683000.0,394201.80308381096
684000.0,388059.3606739724
685000.0,391594.4678638205
686000.0,400703.79974302
687000.0,404860.11983838025
688000.0,399275.68897391204
689000.0,390376.33898421377
690000.0,388444.31378117856
691000.0,395713.7575479392
692000.0,403763.55389786046
693000.0,403309.0552004995
694000.0,394869.17519683205
695000.0,388172.8688040832
696000.0,390969.3159345612
697000.0,400010.85878166836
698000.0,404844.7172953775
699000.0,399902.3363029752
700000.0,390869.2520573335
701000.0,388179.1924948897
702000.0,394944.93794090115
703000.0,403326.21156505495
704000.0,403652.929116738
705000.0,395545.364765943
706000.0,388346.79368111305
707000.0,390385.9531343384
708000.0,399292.80780857895
709000.0,404766.6109110927
710000.0,400500.7023859238
711000.0,391401.2625948414
712000.0,387975.44649734907
713000.0,394188.57587804087
714000.0,402838.39199202973
715000.0,403941.8067589579
716000.0,396225.42049376573
717000.0,388579.0531881824
718000.0,389847.7105885986
719000.0,398554.61544044595
720000.0,404626.6600387776
721000.0,401066.6328141112
722000.0,391967.6662639817
723000.0,387833.135890387
724000.0,393449.330991365
725000.0,402303.93519454915
726000.0,404173.9919309756
727000.0,396903.90020719264
728000.0,388867.00810723845
729000.0,389357.72581678256
730000.0,397801.2694761194
731000.0,404425.688701367
732000.0,401595.6093513081
733000.0,392563.84798573423
734000.0,387752.95178312715
735000.0,392732.4357322529
736000.0,401726.3826972032
737000.0,404347.2550006695
738000.0,397575.24151099287
739000.0,389207.8533564862
740000.0,388919.5455791224
741000.0,397038.75585768186
742000.0,404165.59256368876
743000.0,402083.665211387
744000.0,393184.6824350599
745000.0,387734.65036191884
746000.0,392042.6490654219
747000.0,401109.93051686697
748000.0,404460.7008164767
749000.0,398234.56284606457
750000.0,389598.7623382341
751000.0,388535.2794340169
752000.0,396271.40575617366
753000.0,403847.7282446148
754000.0,402527.38653686363
755000.0,393825.68685976043
756000.0,387778.09123669006
757000.0,391384.73164548166
758000.0,400458.86108077224
759000.0,404513.0826247735
760000.0,398876.73395294975
761000.0,390036.3184920214
762000.0,388207.500905144
763000.0,395504.92172278
764000.0,403474.43340336904
765000.0,402923.12184420973
766000.0,394481.38027446903
767000.0,387881.749658199
768000.0,390762.4066981785
769000.0,399777.8458013525
770000.0,404504.6778645376
771000.0,399496.9662352111
772000.0,390516.3757196497
773000.0,387937.3604174396
774000.0,394744.30308456905
775000.0,403048.71811824664
776000.0,403268.44716601074
777000.0,395146.6256322134
778000.0,388044.3716720836
779000.0,390180.13076705486
780000.0,399071.6073262999
781000.0,404435.1561599104
782000.0,400090.33102623746
783000.0,391034.9374576276
784000.0,387726.805814784
785000.0,393995.24518202525
786000.0,402573.49351595715
787000.0,403560.22688370384
788000.0,395816.02449870016
789000.0,388264.19255189504
790000.0,389641.67942732293
791000.0,398345.27909256425
792000.0,404304.90641212184
793000.0,400652.1892387336
794000.0,391587.54834512435
795000.0,387576.4461313989
796000.0,393262.78296553995
797000.0,402052.24470487796
798000.0,403796.3320101211
799000.0,396484.00384284835
800000.0,388538.7131247688
801000.0,389150.4705409929
802000.0,397603.89748364873
803000.0,404114.99320149235
804000.0,401178.2917325208
805000.0,392169.76526616234
806000.0,387486.81304590404
807000.0,392551.3073659362
808000.0,401488.2976454757
809000.0,403975.4040265847
810000.0,397146.2473311927
811000.0,388865.58426194545
812000.0,388708.9483880969
813000.0,396852.01027198136
814000.0,403866.6280158451
